book_id,position,token_length,char_length,genre,author,title,source_file
8ec115f9-f484-4e48-86b1-e4fef9f62781,5803,1418,5125,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,8481,786,3019,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,8739,676,2617,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,9126,1159,2606,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,9127,740,1726,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,12119,570,2202,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,13452,1074,4083,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,14114,657,2423,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,14573,581,2187,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,15390,538,2097,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,15606,1272,4755,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,17443,1418,5125,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,20121,786,3019,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,20379,676,2617,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,20766,1159,2606,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
8ec115f9-f484-4e48-86b1-e4fef9f62781,20767,740,1726,,Unknown,Освобождение городов,8ec115f9-f484-4e48-86b1-e4fef9f62781.jsonl
